,formula,min_proba
0,Lu2Te3,0.9692999999999996
1,S,0.9571132065366952
2,CaC2,0.9766610011486632
3,BaTe,0.9825734330982878
4,HfO2,0.987293599849513
5,SnSe,0.9635925616295709
6,CO2,0.9583210286374166
7,SiO2,0.965556368995652
8,Te2Ir,0.9504
9,Si,0.9611003773378008
10,CdSe,0.9533435895685696
11,ZrO2,0.9812593337402308
12,TiZn2O4,0.9641704704970916
13,SnO2,0.9651490281626478
14,CdTe,0.9667184493278376
15,ZnO,0.9765999999999996
16,MgS,0.9651517757429088
17,HfSe2,0.9839
18,PbS,0.985997923577925
19,PbO,0.9861079903452268
20,SrZrO3,0.9748880074839188
21,BaZrO3,0.9732499376936444
22,HgSe,0.9801999999999996
23,TiCdO3,0.9656971173107992
24,HgO,0.9860090972574252
25,SiS2,0.9517512137485074
26,HfPbO3,0.9817400749356908
27,CaSi2,0.9765999999999996
28,Ba6Hf5S16,0.9516999999999994
29,SrCa3O4,0.9516999999999998
30,HgS,0.9855594063132804
31,ZnWO4,0.9674
32,HfSnS3,0.9650275152784156
33,BaO,0.98104706318985
34,TePb,0.9864266726726536
35,SnS,0.963771535146586
36,ZrPbS3,0.9656740674278071
37,SrY2O4,0.9502478095740452
38,TiO2,0.9803878591297024
39,CaS,0.983116003364908
40,ZrPbO3,0.979044592109546
41,HfC,0.951250848856134
42,MgO,0.9767963104106058
43,MgTe,0.9777358277873556
44,GeTe,0.9825152378102028
45,PbSe,0.9859133812953236
46,ZnO2,0.9652314701774832
47,CaO,0.9832307729231416
48,C,0.9554305977667036
49,BaSi6,0.9516
50,SrO,0.9838999999999996
51,Ba2ZrS4,0.9515107472760348
52,SrC2,0.9723956961645468
53,GeO2,0.967872593105763
54,SnTe,0.9801508570694298
55,TiZnO3,0.9702557822309936
56,PbWO4,0.964879968577393
57,TeO2,0.9754083353933872
58,CaTe,0.9846689390187268
59,SrHfO3,0.983110436533611
60,SrSe,0.9829691840071024
61,ZnS,0.9523999999999996
62,Pb2O,0.9541000000000004
63,HfPbS3,0.9780204768905386
64,BaSi2,0.9715
65,PbO2,0.9696999999999996
66,HgTe,0.9728999999999998
67,ErS2,0.9508040456671965
68,SrSi6,0.9531999999999998
69,SrSi2,0.964230237951106
70,WO3,0.9773548321761092
71,MgTiO3,0.9742790219123012
72,Ba2ZrO4,0.9744216178769544
73,CaHfS3,0.9689391442797002
74,CaZrO3,0.977792914980635
75,CdMoO4,0.9514712166669446
76,Sr3CaO4,0.9516999999999995
77,BaS,0.98092034913811
78,Ba3SrO4,0.9529999999999996
79,CdO,0.9780999999999994
80,ErC2,0.9525536158062704
81,GeS,0.965972439705959
82,HgWO4,0.9644974420336092
83,SrTe,0.9803
84,HfTe2,0.9834
85,BaC2,0.9582
86,BaSe,0.9817002909061974
87,Lu2PbS4,0.9549999999999996
88,ErSe2,0.9615000000000002
89,TiHgO3,0.9806154958710276
90,SeO2,0.952
91,BaTe2,0.9729999999999994
92,ZnSe,0.9553309020044034
93,BaSr3O4,0.9526999999999995
94,ErTe2,0.9621
95,SiTe2,0.9733000000000002
96,GeSe,0.966906012898722
97,SrHfS3,0.9656904259633532
98,SnO,0.9758999999999998
99,MgTe2,0.9675371144650904
100,HfS2,0.985800659105423
101,PbSe2,0.9593000000000004
102,CaSe,0.983927089146828
103,BaHgO2,0.9612
104,Er2O3,0.9509
105,MgTi2O5,0.9693802482315084
106,SrS,0.9840952828396832
107,HgMoO4,0.9596999999999996
108,BaY2O4,0.9524086779488258
109,ZrS2,0.9806576204718108
110,CdS,0.977476548625688
111,Pb2O3,0.9729999999999996
112,Ca2Hf7O16,0.9652
113,Pb2WO5,0.974116035221763
114,Ta2Cd2O7,0.9507999999999996
115,BaHfS3,0.9663068655567688
116,Pb3O4,0.9721
117,ZrSe2,0.9814412173324036
118,TiPbO3,0.9566493136778348
119,ZrTe2,0.9817451710015096
120,SiC2,0.9726794516600392
